Key,Objection,Responses
RELEVANT,not relevant irrelevant to the subject matter of the suit and will not lead to the discovery of admissible evidence,"A"
S:RELEVANT,The proposed discovery goes beyond the subject matter of the case and reasonable expectations of obtaining information that will aid resolution of the dispute.,"A"
CREATE,"request would require the responding party to create a document not in existence. A party is not required to produce a document or tangible thing unless it is within the person's possession, custody, or control. A document that does not exist is not within a party's ""possession, custody, or control."" The only exception to the rule involves the factual observations, tests, or supporting data of a testifying expert.","C"
CONSULTING_EXPERT,"seeks the identity, mental impressions, opinions, and/or documents or tangible things containing such information of consulting experts either informally consulted or specially retained in anticipation of litigation or preparation for trial that were not reviewed by a testifying expert witness.","D"
CUMULATIVE,unreasonable cumulative or duplicative,"E"
OTHER_SOURCE,"obtainable from some other source that is more convenient, less burdensome, or less expensive","F"
S:OTHER_SOURCE,"available from another source that is more convenient, less burdensome, or less expensive",0
BURDEN,"burden or expense of the proposed discovery outweighs its likely benefit, taking into account the needs of the case, the amount in controversy, the parties' resources, the importance of the issues at stake in the litigation, and the importance of the proposed discovery in resolving the issues.","G"
UNDUE,"undue burden, unnecessary expense, harassment, or annoyance","H"
INVASION,"invasion of personal, constitutional, or property rights","I"
INVASION_3P,"seeks confidential proprietary information trade secrets","XX"
S:INVASION_3P,"non-parties nonparties nonparty non-party third personal and property rights","XX"
OVERLY_BROAD,"overly broad","J"
S:OVERLY_BROAD,"fishing expedition","XX"
LATE,served later than thirty days before the end of the discovery period.,"K"
SPECIFY_FORM,production of data or information that exists in electronic or magnetic form because [opposing party] failed to specify the form in which [opposing party] wants it produced,"L"
CANNOT_RETRIEVE,production of data or information that exists in electronic or magnetic form because [Petitioner/Respondent] cannot - through reasonable efforts - retrieve the data or information requested,"M"
CANNOT_PRODUCE,production of data or information that exists in electronic or magnetic form because [Petitioner/Respondent] cannot - through reasonable efforts - produce the data requested in the form requested,"L"
SUBJECT_TO,Subject to and without waiving the objection,N
EQUALLY_AVAIL,equally available,O
EARLY,served on the responding party less than thirty days after the due date for required disclosures,P
PROPORTIONAL,"not proportional to the needs of the case",Q
INSTRUCTIONS,"objects to the Instructions to the extent they seek to impose obligations beyond the scope of the Texas Rules of Civil Procedure and further objects to the definitions to the extent they exceed or conflict with the requirements of the Texas Rules of Civil Procedure","XX"
DEF_YOUR,"objects to definitions definition of Petitioner, you, and your to the extent these definitions include and seek to elicit privileged information from attorneys, consultants, investigators and others, in violation of the attorney-client, work product and investigative privileges","XX"
DEF_YOUR_3P,"objects to definitions definition of Petitioner, you, and your to the extent these definitions attempt to seek information from a third party","XX"
DEF_ITEM,"objects to the definition definitions of the term item, document, and record to the extent that it seeks the identity, mental impressions and opinions of any consulting expert","XX"
DEF_PERSON,"objects to definitions definition of person to the extent it attempts to seek information from a third party","XX"
OBJ_3P,"objects to each and every production request to the extent it attempts to seek information from a third party","XX"
OBJ_POSSESSION,"objects to each and every production request to the extent it attempts to seek information in which he has mere access to and not physical actual possession of the requested material or information","XX"
OBJ_TIME,"objects to the beginning time period of the request","XX"
OMNIBUS,"objections apply to each request and are incorporated into all individual responses set out below","XX"
